name,party,education,url
彭紹瑾,民主進步黨,"
台灣大學法律系畢業
東吳大學法研所碩士
德國慕尼黑大學法學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1681
黃仁杼,民主進步黨,"
新街國小畢業
新明初中畢業
健行工專畢業
元智大學工學碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1682
林岱樺,民主進步黨,"
天主教輔仁大學德文系畢業
美國威斯康辛大學大眾傳播碩士
德國卡塞爾綜合大學德語教學研究結業
臺北大學企管博士班研究
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1683
許添財,民主進步黨,"
渡拔國小
前麻豆曾文中學
台北市立成功高中
中國文化大學經濟學碩士、學士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1684
江連福,中國國民黨,"
坪林國小
太平國中
勤益高中
東海大學經營管理師研究班
國立勤益科技大學流通管理科畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1565
吳志揚,中國國民黨,"
美國哈佛大學法學碩士
台灣大學法學碩士
台灣大學法律系司法組第一名畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1569
吳敦義,中國國民黨,"
草屯鎮新庄國小畢業
台中一中初、高中畢業
台灣大學畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1572
李乙廷,中國國民黨,"
國立台中技術學院畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1574
李紀珠,中國國民黨,"
國立台灣大學經濟系保送直升經濟學博士
國立台灣大學第一位保送直升經濟學博士(最年輕經濟學博士，26歲)
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1577
李嘉進,中國國民黨,"
日本國立筑波大學經濟學碩士
國立中興大學財稅系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1579
李慶安,中國國民黨,"
美國馬里蘭大學傳播碩士
政治大學新聞系畢業
北一女中畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1580
林正二,親民黨,"
台東縣大王國小
省立台東中學
省立屏東師專
國立台灣師範大學教育系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1584
邱鏡淳,中國國民黨,"
美國聖湯瑪斯大學國際管理碩士畢業
明新科技大學畢業
竹東高中畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1595
徐中雄,中國國民黨,"
東吳大學政治系
美國北科羅拉多大學殘障福利哲學博士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1603
張花冠,民主進步黨,"
國立中興大學企業管理系
嘉義女中
凱達格蘭學校第一期女性公共事務班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1611
張碩文,中國國民黨,"
美國科羅拉多克里斯蒂安大學管理科碩士學位畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1613
陳秀卿,中國國民黨,"
國立彰化師範大學高階企業管理碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1619
陳啟昱,民主進步黨,"
台北市立建國中學
台灣大學社會學系畢業
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1623
傅崐萁,中國國民黨,"
省立花蓮中學
淡江大學交通管理學系
淡江大學大陸研究所碩士
廣州暨南大學法學博士班
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1627
黃健庭,中國國民黨,"
美國加州聖塔克拉拉大學企管碩士
國立政治大學國貿系
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1633
廖正井,中國國民黨,"
楊梅初中
新竹師範學校普通科
逢甲大學財稅系
政治大學財政研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1640
賴清德,民主進步黨,"
國立台灣大學復健學系
國立成功大學學士後醫學系
美國哈佛大學公共衛生碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1661
康世儒,無黨籍,"
親民工專企業管理科畢
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1671
簡肇棟,民主進步黨,"
台中一中中山醫學院醫學系畢業
中興大學國際政治研究所碩士
",https://www.ly.gov.tw/Pages/List.aspx?nodeid=1678
