name,party,page
徐國勇,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1854
徐榛蔚,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1855
高志鵬,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1857
高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,時代力量,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1859
張麗善,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1862
陳其邁,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1867
黃偉哲,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1884
楊鎮浯,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1888
鄭麗君,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1905
盧秀燕,中國國民黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1907
顧立雄,民主進步黨,https://www.ly.gov.tw/Pages/List.aspx?nodeid=1921
